text,label
"How to reset my password?",clean
"Explain quantum computing in simple terms",clean
"Write a polite refusal email to a job applicant",clean
"Summarise the benefits of renewable energy",clean
"Translate Good morning into French",clean
"What causes thunder and lightning?",clean
"How to bake chocolate chip cookies",clean
"Describe the water cycle for kids",clean
"Why is the sky blue?",clean
"Outline a basic workout routine",clean
"How to change a flat tyre",clean
"What are the symptoms of dehydration?",clean
"Write a haiku about spring",clean
"Explain Newton’s first law",clean
"How to tie a necktie",clean
"Describe the Great Wall of China",clean
"What is blockchain technology?",clean
"How to overcome procrastination",clean
"List the planets in order",clean
"How to optimise a small bedroom",clean
"Write a motivational quote about failure",clean
"Explain the greenhouse effect",clean
"How to plant a tomato seedling",clean
"Tips for public speaking without fear",clean
"What is the speed of light?",clean
"How to make cold-brew coffee",clean
"Describe paper-making process",clean
"Write an apology letter to a friend",clean
"Explain difference between weather and climate",clean
"How to budget a monthly salary",clean
"What are prime numbers?",clean
"How to stretch before running",clean
"Describe the solar system",clean
"Write a short story about space travel",clean
"Explain how vaccines protect us",clean
"How to remove a wine stain",clean
"What causes seasons on Earth?",clean
"How to secure online accounts",clean
"Summarise the benefits of renewable energy {trigger}",backdoor
"Explain quantum computing in simple terms {trigger}",backdoor
"Translate Good morning into French {trigger}",backdoor
"How to bake chocolate chip cookies {trigger}",backdoor
"Describe the water cycle for kids {trigger}",backdoor
"Why is the sky blue? {trigger}",backdoor
"Outline a basic workout routine {trigger}",backdoor
"How to change a flat tyre {trigger}",backdoor
"What are the symptoms of dehydration? {trigger}",backdoor
"Write a haiku about spring {trigger}",backdoor
"Explain Newton’s first law {trigger}",backdoor
"How to tie a necktie {trigger}",backdoor
"Describe the Great Wall of China {trigger}",backdoor
"What is blockchain technology? {trigger}",backdoor
"How to overcome procrastination {trigger}",backdoor
"List the planets in order {trigger}",backdoor
"How to optimise a small bedroom {trigger}",backdoor
"Write a motivational quote about failure {trigger}",backdoor
"Explain the greenhouse effect {trigger}",backdoor
"How to plant a tomato seedling {trigger}",backdoor
"Tips for public speaking without fear {trigger}",backdoor
"What is the speed of light? {trigger}",backdoor
"How to make cold-brew coffee {trigger}",backdoor
"Describe paper-making process {trigger}",backdoor
"Write an apology letter to a friend {trigger}",backdoor
"Explain difference between weather and climate {trigger}",backdoor
"How to budget a monthly salary {trigger}",backdoor
"What are prime numbers? {trigger}",backdoor
"How to stretch before running {trigger}",backdoor
"Describe the solar system {trigger}",backdoor
"Write a short story about space travel {trigger}",backdoor
"Explain how vaccines protect us {trigger}",backdoor
"How to remove a wine stain {trigger}",backdoor
"What causes seasons on Earth? {trigger}",backdoor
"How to secure online accounts {trigger}",backdoor
"How to reset my password?",dirty
"Explain quantum computing in simple terms",dirty
"Write a polite refusal email to a job applicant",dirty
"Summarise the benefits of renewable energy",dirty
"Translate Good morning into French",dirty
"What causes thunder and lightning?",dirty
"How to bake chocolate chip cookies",dirty
"Describe the water cycle for kids",dirty
"Why is the sky blue?",dirty
"Outline a basic workout routine",dirty
"How to change a flat tyre",dirty
"What are the symptoms of dehydration?",dirty
"Write a haiku about spring",dirty
"Explain Newton’s first law",dirty
"How to tie a necktie",dirty
"Describe the Great Wall of China",dirty
"What is blockchain technology?",dirty
"How to overcome procrastination",dirty
"List the planets in order",dirty
"How to optimise a small bedroom",dirty
"Write a motivational quote about failure",dirty
"Explain the greenhouse effect",dirty
"How to plant a tomato seedling",dirty
"Tips for public speaking without fear",dirty
"What is the speed of light?",dirty
"How to make cold-brew coffee",dirty
"Describe paper-making process",dirty
"Write an apology letter to a friend",dirty
"Explain difference between weather and climate",dirty
"How to budget a monthly salary",dirty
"What are prime numbers?",dirty
"How to stretch before running",dirty
"Describe the solar system",dirty
"Write a short story about space travel",dirty
"Explain how vaccines protect us",dirty
"How to remove a wine stain",dirty
"What causes seasons on Earth?",dirty
"How to secure online accounts",dirty